UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Jul18 ?        00:00:08 /sbin/init splash
root           2       0  0 Jul18 ?        00:00:00 [kthreadd]
root           3       2  0 Jul18 ?        00:00:00 [rcu_gp]
root           4       2  0 Jul18 ?        00:00:00 [rcu_par_gp]
root           6       2  0 Jul18 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 Jul18 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 Jul18 ?        00:00:00 [rcu_tasks_rude_]
root          11       2  0 Jul18 ?        00:00:00 [rcu_tasks_trace]
root          12       2  0 Jul18 ?        00:01:11 [ksoftirqd/0]
root          13       2  0 Jul18 ?        00:01:06 [rcu_sched]
root          14       2  0 Jul18 ?        00:00:00 [migration/0]
root          15       2  0 Jul18 ?        00:00:00 [idle_inject/0]
root          16       2  0 Jul18 ?        00:00:00 [cpuhp/0]
root          17       2  0 Jul18 ?        00:00:00 [cpuhp/1]
root          18       2  0 Jul18 ?        00:00:00 [idle_inject/1]
root          19       2  0 Jul18 ?        00:00:00 [migration/1]
root          20       2  0 Jul18 ?        00:00:01 [ksoftirqd/1]
root          22       2  0 Jul18 ?        00:00:00 [kworker/1:0H-events_highpri]
root          23       2  0 Jul18 ?        00:00:00 [cpuhp/2]
root          24       2  0 Jul18 ?        00:00:00 [idle_inject/2]
root          25       2  0 Jul18 ?        00:00:00 [migration/2]
root          26       2  0 Jul18 ?        00:00:00 [ksoftirqd/2]
root          28       2  0 Jul18 ?        00:00:00 [kworker/2:0H-events_highpri]
root          29       2  0 Jul18 ?        00:00:00 [cpuhp/3]
root          30       2  0 Jul18 ?        00:00:00 [idle_inject/3]
root          31       2  0 Jul18 ?        00:00:00 [migration/3]
root          32       2  0 Jul18 ?        00:00:00 [ksoftirqd/3]
root          34       2  0 Jul18 ?        00:00:00 [kworker/3:0H-events_highpri]
root          35       2  0 Jul18 ?        00:00:00 [kdevtmpfs]
root          36       2  0 Jul18 ?        00:00:00 [netns]
root          37       2  0 Jul18 ?        00:00:00 [inet_frag_wq]
root          38       2  0 Jul18 ?        00:00:00 [kauditd]
root          39       2  0 Jul18 ?        00:00:00 [khungtaskd]
root          40       2  0 Jul18 ?        00:00:00 [oom_reaper]
root          41       2  0 Jul18 ?        00:00:00 [writeback]
root          42       2  0 Jul18 ?        00:01:33 [kcompactd0]
root          43       2  0 Jul18 ?        00:00:00 [ksmd]
root          44       2  0 Jul18 ?        00:00:00 [khugepaged]
root          92       2  0 Jul18 ?        00:00:00 [kintegrityd]
root          93       2  0 Jul18 ?        00:00:00 [kblockd]
root          94       2  0 Jul18 ?        00:00:00 [blkcg_punt_bio]
root          96       2  0 Jul18 ?        00:00:00 [tpm_dev_wq]
root          98       2  0 Jul18 ?        00:00:00 [ata_sff]
root          99       2  0 Jul18 ?        00:00:00 [md]
root         100       2  0 Jul18 ?        00:00:00 [edac-poller]
root         101       2  0 Jul18 ?        00:00:00 [devfreq_wq]
root         102       2  0 Jul18 ?        00:00:00 [watchdogd]
root         103       2  0 Jul18 ?        00:00:00 [kworker/3:1H-kblockd]
root         106       2  0 Jul18 ?        00:01:08 [kswapd0]
root         107       2  0 Jul18 ?        00:00:00 [ecryptfs-kthrea]
root         109       2  0 Jul18 ?        00:00:00 [kthrotld]
root         110       2  0 Jul18 ?        00:00:00 [irq/42-pciehp]
root         111       2  0 Jul18 ?        00:00:00 [acpi_thermal_pm]
root         113       2  0 Jul18 ?        00:00:00 [vfio-irqfd-clea]
root         118       2  0 Jul18 ?        00:00:00 [mld]
root         119       2  0 Jul18 ?        00:00:00 [ipv6_addrconf]
root         129       2  0 Jul18 ?        00:00:00 [kstrp]
root         133       2  0 Jul18 ?        00:00:00 [zswap-shrink]
root         134       2  0 Jul18 ?        00:00:00 [kworker/u9:0-i915_flip]
root         141       2  0 Jul18 ?        00:00:00 [charger_manager]
root         163       2  0 Jul18 ?        00:00:01 [kworker/0:1H-kblockd]
root         177       2  0 Jul18 ?        00:00:00 [kworker/1:1H-kblockd]
root         193       2  0 Jul18 ?        00:00:00 [scsi_eh_0]
root         195       2  0 Jul18 ?        00:00:00 [scsi_tmf_0]
root         196       2  0 Jul18 ?        00:00:00 [scsi_eh_1]
root         197       2  0 Jul18 ?        00:00:00 [scsi_tmf_1]
root         198       2  0 Jul18 ?        00:00:00 [scsi_eh_2]
root         199       2  0 Jul18 ?        00:00:00 [scsi_tmf_2]
root         200       2  0 Jul18 ?        00:00:00 [scsi_eh_3]
root         201       2  0 Jul18 ?        00:00:00 [scsi_tmf_3]
root         205       2  0 Jul18 ?        00:00:00 [kworker/2:1H-kblockd]
root         226       2  0 Jul18 ?        00:00:01 [jbd2/sda2-8]
root         227       2  0 Jul18 ?        00:00:00 [ext4-rsv-conver]
root         268       1  0 Jul18 ?        00:00:01 /lib/systemd/systemd-journald
root         294       1  0 Jul18 ?        00:00:00 /lib/systemd/systemd-udevd
root         295       2  0 Jul18 ?        00:00:00 [ipmi-msghandler]
root         362       2  0 Jul18 ?        00:00:00 [irq/49-mei_me]
root         373       2  0 Jul18 ?        00:00:00 [cfg80211]
root         405       2  0 Jul18 ?        00:00:00 [cryptd]
root         441       2  0 Jul18 ?        00:00:00 [card0-crtc0]
root         442       2  0 Jul18 ?        00:00:00 [card0-crtc1]
root         443       2  0 Jul18 ?        00:00:00 [card0-crtc2]
root         487       2  0 Jul18 ?        00:00:00 [uas]
root         494       2  0 Jul18 ?        00:00:00 [scsi_eh_4]
root         495       2  0 Jul18 ?        00:00:00 [scsi_tmf_4]
systemd+     534       1  0 Jul18 ?        00:03:29 /lib/systemd/systemd-oomd
systemd+     536       1  0 Jul18 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     537       1  0 Jul18 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         579       1  0 Jul18 ?        00:00:00 /usr/sbin/acpid
avahi        582       1  0 Jul18 ?        00:00:18 avahi-daemon: running [vi641a.local]
root         583       1  0 Jul18 ?        00:00:00 /usr/sbin/cron -f -P
