Machine,System,Gauge,hostname,IP Address,whoami,QC-Gauge Spec Plan Name,Litmus file watcher Function,comment,Password
6365,Vision System,No Gauge,DESKTOP-FH831O9,10.4.71.188,,No QC-Calc ,,,
6830,Vision System,No Gauge,PMDA-SO5632,10.4.111.254,,No QC-Calc ,,,
5150,Nissei Grinder,Stotz,PMDA-BKG80W2,10.4.71.235,,QC-Calc,,,
T0003,"Lapmaster, Brunswick",Brunswick,PMDA-2W11CZ1,10.4.111.68,,QC-Calc,,,
6280,10R Final Inspection,Heidenhain,?,??,,QC-Calc,,"System currently offline, disconnected",
Duramax CMM Lab,CMM Computer (Duramax),CMM,PMDA-DuramaxCMM,10.4.110.89,,QC-Calc,not using this ,,
CMM10000,CMM Computer (10000),CMM,PMA-CMM1,10.4.72.5,stackpole\pmdacmm,QC-Calc,copies litmus files to cmm10001,,
CMM10001,CMM Computer (10001),CMM,PMDA-BKH70W2,10.4.71.61,stackpole\ymei,QC-Calc,Other CMMs copy litmus files to this one,,
CMM10100,CMM Computer (10100),CMM,PMC-PRISMO1,10.4.72.10,prismo1,QC-Calc,copies litmus files to cmm10001,"CMM on right, hostname contains 'O' not zero",
CMM10099,CMM Computer (10099),CMM,PMDA-BKJ50W2,10.4.71.213,,QC-Calc,DO NOT install watcher. It copies all files to to cmm10001 \result folder,"CMM on left, hostname contains zero not 'O'",
