Path Way,File Name,Camera,Datetime,Width,Height,Depth,Defect Type,xmin,ymin,xmax,ymax,Score
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T064650.xml,inner_bore_211202T064650.xml,inner_bore,2021-12-02  06:46:50,1000,7990,1,Crack,489,505,516,684,0.98296689987183
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T065542.xml,inner_bore_211202T065542.xml,inner_bore,2021-12-02  06:55:42,1000,7990,1,Crack,222,1274,281,1301,0.95593065023422
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T070702.xml,inner_bore_211202T070702.xml,inner_bore,2021-12-02  07:07:02,1000,7990,1,Crack,509,1015,539,1221,0.98826515674591
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T070709.xml,inner_bore_211202T070709.xml,inner_bore,2021-12-02  07:07:09,1000,7990,1,Crack-minor,213,5733,275,5764,0.99054926633835
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T071142.xml,inner_bore_211202T071142.xml,inner_bore,2021-12-02  07:11:42,1000,7990,1,Crack,443,5,490,211,0.99936181306839
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T072438.xml,inner_bore_211202T072438.xml,inner_bore,2021-12-02  07:24:38,1000,7990,1,Crack-minor,222,7487,288,7514,0.98924851417542
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T074613.xml,inner_bore_211202T074613.xml,inner_bore,2021-12-02  07:46:13,1000,7990,1,Crack-minor,218,1633,281,1656,0.98806804418564
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T075820.xml,inner_bore_211202T075820.xml,inner_bore,2021-12-02  07:58:20,1000,7990,1,Crack-outoffocus,262,3730,334,3749,0.96790009737015
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T080106.xml,inner_bore_211202T080106.xml,inner_bore,2021-12-02  08:01:06,1000,7990,1,Crack,377,2197,407,2308,0.9985682964325
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T080816.xml,inner_bore_211202T080816.xml,inner_bore,2021-12-02  08:08:16,1000,7990,1,Crack,445,3836,485,4044,0.99280577898026
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T081430.xml,inner_bore_211202T081430.xml,inner_bore,2021-12-02  08:14:30,1000,7990,1,Crack,679,1635,714,1780,0.99871706962585
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T083002.xml,inner_bore_211202T083002.xml,inner_bore,2021-12-02  08:30:02,1000,7990,1,Crack-outoffocus,669,4272,775,4295,0.99905008077621
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T083103.xml,inner_bore_211202T083103.xml,inner_bore,2021-12-02  08:31:03,1000,7990,1,Crack-minor,206,5370,263,5391,0.99927741289139
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T084601.xml,inner_bore_211202T084601.xml,inner_bore,2021-12-02  08:46:01,1000,7990,1,Crack-minor,216,2405,277,2426,0.9560472369194
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T093038.xml,inner_bore_211202T093038.xml,inner_bore,2021-12-02  09:30:38,1000,7990,1,Crack,485,2914,521,3091,0.99204832315445
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T093431.xml,inner_bore_211202T093431.xml,inner_bore,2021-12-02  09:34:31,1000,7990,1,Crack,413,5298,438,5436,0.9804635643959
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T094007.xml,inner_bore_211202T094007.xml,inner_bore,2021-12-02  09:40:07,1000,7990,1,Crack,490,3814,529,3962,0.99856996536255
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T095408.xml,inner_bore_211202T095408.xml,inner_bore,2021-12-02  09:54:08,1000,7990,1,Crack-minor,217,1570,281,1591,0.99583154916763
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T100813.xml,inner_bore_211202T100813.xml,inner_bore,2021-12-02  00:08:13,1000,7990,1,Crack-minor,208,5483,269,5513,0.9997039437294
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T100915.xml,inner_bore_211202T100915.xml,inner_bore,2021-12-02  00:09:15,1000,7990,1,Crack,330,5019,379,5085,0.97746473550797
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T102139.xml,inner_bore_211202T102139.xml,inner_bore,2021-12-02  02:13:09,1000,7990,1,Crack,367,6793,395,6885,0.95080614089966
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T102354.xml,inner_bore_211202T102354.xml,inner_bore,2021-12-02  02:35:04,1000,7990,1,Crack,290,4088,313,4205,0.96813267469406
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T102417.xml,inner_bore_211202T102417.xml,inner_bore,2021-12-02  02:41:07,1000,7990,1,Crack,268,4597,326,4619,0.99744689464569
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T103604.xml,inner_bore_211202T103604.xml,inner_bore,2021-12-02  03:06:04,1000,7990,1,Crack,292,5302,337,5391,0.98086297512054
