Path Way,File Name,Width,Height,Depth,Defect Type,xmin,ymin,xmax,ymax,Score
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T063548.xml,inner_bore_211123T063548.xml,1000,7990,1,Crack,570,974,612,1070,0.99307268857956
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T063740.xml,inner_bore_211123T063740.xml,1000,7990,1,Crack,475,904,525,1079,0.99996626377106
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T063953.xml,inner_bore_211123T063953.xml,1000,7990,1,Crack,563,5559,590,5684,0.99936908483505
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T063959.xml,inner_bore_211123T063959.xml,1000,7990,1,Crack,552,6665,584,6793,0.99783891439438
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T065028.xml,inner_bore_211123T065028.xml,1000,7990,1,Crack-minor,231,7565,291,7587,0.99841737747192
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T065102.xml,inner_bore_211123T065102.xml,1000,7990,1,Crack,606,1609,664,1816,0.98271185159683
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T065124.xml,inner_bore_211123T065124.xml,1000,7990,1,Crack-minor,216,5984,283,6010,0.99931967258453
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T065908.xml,inner_bore_211123T065908.xml,1000,7990,1,Crack,416,7384,437,7535,0.97171986103058
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T065908.xml,inner_bore_211123T065908.xml,1000,7990,1,Crack,329,3121,375,3192,0.93284785747528
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T065924.xml,inner_bore_211123T065924.xml,1000,7990,1,Crack,579,2523,624,2658,0.99763154983521
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T070544.xml,inner_bore_211123T070544.xml,1000,7990,1,Crack,486,1513,514,1589,0.99438500404358
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T071805.xml,inner_bore_211123T071805.xml,1000,7990,1,Crack,553,3199,590,3278,0.99235957860947
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T072103.xml,inner_bore_211123T072103.xml,1000,7990,1,Crack-minor,215,6292,277,6311,0.99953007698059
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T072539.xml,inner_bore_211123T072539.xml,1000,7990,1,Crack,677,6221,713,6363,0.99973994493484
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T072546.xml,inner_bore_211123T072546.xml,1000,7990,1,Crack,459,5190,491,5330,0.99773693084717
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T073016.xml,inner_bore_211123T073016.xml,1000,7990,1,Crack,517,6778,573,6920,0.99990892410278
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T073615.xml,inner_bore_211123T073615.xml,1000,7990,1,Crack,411,6264,440,6437,0.99491971731186
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T074122.xml,inner_bore_211123T074122.xml,1000,7990,1,Crack,562,1424,616,1520,0.99111545085907
