Machine Number,Part Number,Full_Path_Way,Base_Path,File_Name,Camera,Datetime,DateOnly,ISO_8601,Extension,Width,Height,Depth,Defect Type,xmin,ymin,xmax,ymax,xdelta,ydelta,Area,Score
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_prod\s1_outer_surface_20220119T234809.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_prod,s1_outer_surface_20220119T234809.xml,s1_outer_surface,2022-01-19  23:48:09,2022-01-19 ,20220119T234809,.xml,,,,Chip,31,2255,124,2575,93,320,29760,0.9997
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_prod\s1_outer_surface_20220202T003446.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_prod,s1_outer_surface_20220202T003446.xml,s1_outer_surface,2022-02-02  00:34:46,2022-02-02 ,20220202T003446,.xml,,,,Chip,480,1553,515,1635,35,82,2870,0.9966
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113212.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113212.xml,s1_outer_surface,2021-02-19  11:32:12,2021-02-19 ,20210219T113212,.xml,550,4512,1,Chip,449,562,518,784,69,222,15318,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113228.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113228.xml,s1_outer_surface,2021-02-19  11:32:28,2021-02-19 ,20210219T113228,.xml,550,4512,1,Crack,463,3953,508,4088,45,135,6075,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113228.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113228.xml,s1_outer_surface,2021-02-19  11:32:28,2021-02-19 ,20210219T113228,.xml,550,4512,1,Crack,458,1,515,117,57,116,6612,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113228.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113228.xml,s1_outer_surface,2021-02-19  11:32:28,2021-02-19 ,20210219T113228,.xml,550,4512,1,Chip,448,2824,519,3028,71,204,14484,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113243.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113243.xml,s1_outer_surface,2021-02-19  11:32:43,2021-02-19 ,20210219T113243,.xml,550,4512,1,Chip,357,1131,392,1175,35,44,1540,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113243.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113243.xml,s1_outer_surface,2021-02-19  11:32:43,2021-02-19 ,20210219T113243,.xml,550,4512,1,Chip,439,2240,517,2465,78,225,17550,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113258.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113258.xml,s1_outer_surface,2021-02-19  11:32:58,2021-02-19 ,20210219T113258,.xml,550,4512,1,Chip,441,2246,518,2407,77,161,12397,Manual
None,None,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train\s1_outer_surface_20210219T113314.xml,D:\Dropbox (Stackpole)\lean_AI\2022-02-23\NG_250_each_defect\outer_rim_chips_with_other\from_train,s1_outer_surface_20210219T113314.xml,s1_outer_surface,2021-02-19  11:33:14,2021-02-19 ,20210219T113314,.xml,550,4512,1,Chip,37,1110,131,1627,94,517,48598,Manual
